dataset,phase,n_seeds,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,epochs_mean,epochs_std,time_mean,time_std,timestamp
mnist,Phase 1 (Fixed ReLU),20,0.9896044642857144,0.00043960046070384,0.963892857142857,0.0006430555249457589,30.0,0.0,15.063077402114867,0.09285687527682959,2026-05-13T19:28:05.955326
mnist,Phase 2 (Activation Training),20,0.9896214285714287,0.0004629307150522397,0.9638821428571429,0.0007035895574169024,10.25,0.5361902647381804,6.094767892360688,0.2950053423995698,2026-05-13T19:28:05.955390
mnist,Phase 3 (Pretrained Act.),20,0.9899955357142858,0.0004229495479995909,0.9640214285714286,0.0006169791449523273,30.0,0.0,17.746350252628325,0.059013160118351206,2026-05-13T19:28:05.955433
fashion_mnist,Phase 1 (Fixed ReLU),20,0.932425892857143,0.0012361899760505173,0.8845035714285714,0.0020353351777322275,30.0,0.0,15.039783143997193,0.10455469760123579,2026-05-13T19:28:05.955504
fashion_mnist,Phase 2 (Activation Training),20,0.9345803571428573,0.0013763270497811082,0.8858035714285716,0.0015635965539976939,11.8,1.3638181696985856,6.909578275680542,0.7361384466454417,2026-05-13T19:28:05.955628
fashion_mnist,Phase 3 (Pretrained Act.),20,0.9339839285714285,0.0011829315991921773,0.8847357142857142,0.0021576986039079033,30.0,0.0,17.776630544662474,0.1905606556262338,2026-05-13T19:28:05.955805
cifar10,Phase 1 (Fixed ReLU),20,0.7566531249999999,0.010262311108949825,0.5155000000000001,0.0038149923547323933,21.6,1.019803902718557,32.55613477230072,1.8191950672589094,2026-05-13T19:28:05.955851
cifar10,Phase 2 (Activation Training),20,0.7674354166666667,0.009663228779832805,0.5200916666666666,0.0030276388857032152,10.05,0.21794494717703367,12.263567018508912,0.278674147775795,2026-05-13T19:28:05.955890
cifar10,Phase 3 (Pretrained Act.),20,0.7642364583333333,0.010962491834137974,0.5147333333333333,0.003313755003349261,21.1,1.044030650891055,33.513238680362704,1.614101931186591,2026-05-13T19:28:05.955930
